id,gender,age,province,product,Q1,Q2,Q3,Q4,Q5
1,Female,55-64,ON,Bass-O-Matic,Somewhat satisfied,Very satisfied,Disagree,Not at all helpful,2
2,Female,35-54,BC,Little Chocolate Donuts,Very dissatisfied,Very dissatisfied,Strongly agree,Not so helpful,10
3,Female,55-64,ON,Little Chocolate Donuts,Somewhat satisfied,Very satisfied,Strongly agree,Not at all helpful,1
4,Female,55-64,ON,Bass-O-Matic,Very satisfied,Very dissatisfied,Strongly agree,Extremely helpful,8
5,Male,18-24,QC,Bass-O-Matic,Somewhat satisfied,Somewhat dissatisfied,Strongly disagree,Not at all helpful,0
6,Female,18-24,QC,Bass-O-Matic,Very satisfied,Very dissatisfied,Neither agree nor disagree,Somewhat helpful,7
7,Male,18-24,BC,Bag of Glass,Neither satisfied nor dissatisfied,Somewhat dissatisfied,Strongly disagree,Very helpful,10
8,Female,35-54,ON,Happy Fun Ball,Somewhat satisfied,Neither satisfied nor dissatisfied,Strongly disagree,Not at all helpful,10
9,Male,35-54,QC,Bass-O-Matic,Neither satisfied nor dissatisfied,Somewhat dissatisfied,Strongly disagree,Not at all helpful,9
10,Male,35-54,BC,Happy Fun Ball,Very dissatisfied,Very dissatisfied,Strongly agree,Very helpful,7
11,Female,35-54,ON,Bass-O-Matic,Neither satisfied nor dissatisfied,Somewhat satisfied,Strongly disagree,Not so helpful,2
12,Male,55-64,BC,Happy Fun Ball,Somewhat dissatisfied,Somewhat dissatisfied,Strongly agree,Very helpful,2
13,Female,55-64,ON,Happy Fun Ball,Very dissatisfied,Somewhat dissatisfied,Strongly disagree,Extremely helpful,2
14,Male,65+,ON,Bass-O-Matic,Somewhat satisfied,Very satisfied,Agree,Not at all helpful,2
15,Male,18-24,ON,Happy Fun Ball,Somewhat dissatisfied,Somewhat dissatisfied,Strongly agree,Not at all helpful,0
16,Male,65+,ON,Happy Fun Ball,Somewhat dissatisfied,Neither satisfied nor dissatisfied,Neither agree nor disagree,Somewhat helpful,0
17,Male,65+,AB,Little Chocolate Donuts,Neither satisfied nor dissatisfied,Somewhat dissatisfied,Strongly agree,Somewhat helpful,7
18,Female,65+,AB,Little Chocolate Donuts,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Agree,Somewhat helpful,10
19,Male,55-64,QC,Bass-O-Matic,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither agree nor disagree,Extremely helpful,5
20,Female,65+,QC,Bass-O-Matic,Somewhat dissatisfied,Neither satisfied nor dissatisfied,Agree,Very helpful,7
21,Male,35-54,BC,Bass-O-Matic,Somewhat satisfied,Somewhat dissatisfied,Disagree,Extremely helpful,6
22,Male,35-54,ON,Bass-O-Matic,Neither satisfied nor dissatisfied,Very satisfied,Strongly disagree,Extremely helpful,8
23,Female,25-34,AB,Little Chocolate Donuts,Neither satisfied nor dissatisfied,Somewhat dissatisfied,Agree,Not so helpful,4
24,Male,18-24,QC,Happy Fun Ball,Neither satisfied nor dissatisfied,Somewhat satisfied,Agree,Very helpful,6
25,Male,35-54,AB,Happy Fun Ball,Very dissatisfied,Somewhat satisfied,Strongly agree,Extremely helpful,3
26,Male,18-24,BC,Bass-O-Matic,Very dissatisfied,Very dissatisfied,Disagree,Very helpful,6
27,Female,55-64,BC,Bass-O-Matic,Somewhat satisfied,Somewhat satisfied,Neither agree nor disagree,Extremely helpful,3
28,Female,65+,QC,Happy Fun Ball,Very dissatisfied,Somewhat dissatisfied,Agree,Very helpful,5
29,Male,55-64,BC,Bass-O-Matic,Very dissatisfied,Very satisfied,Agree,Not at all helpful,3
30,Male,18-24,AB,Little Chocolate Donuts,Somewhat dissatisfied,Very satisfied,Neither agree nor disagree,Not at all helpful,8
31,Female,35-54,BC,Bass-O-Matic,Somewhat dissatisfied,Very dissatisfied,Neither agree nor disagree,Not so helpful,1
32,Female,35-54,BC,Little Chocolate Donuts,Somewhat dissatisfied,Somewhat satisfied,Agree,Not at all helpful,7
33,Male,18-24,QC,Little Chocolate Donuts,Very satisfied,Somewhat satisfied,Strongly disagree,Not at all helpful,10
34,Male,35-54,ON,Little Chocolate Donuts,Somewhat dissatisfied,Somewhat satisfied,Agree,Extremely helpful,9
35,Male,18-24,QC,Bag of Glass,Very dissatisfied,Neither satisfied nor dissatisfied,Strongly disagree,Not at all helpful,1
36,Female,18-24,QC,Bass-O-Matic,Very dissatisfied,Neither satisfied nor dissatisfied,Strongly agree,Not so helpful,2
37,Female,55-64,ON,Bass-O-Matic,Somewhat satisfied,Very satisfied,Agree,Not so helpful,9
38,Male,35-54,QC,Bass-O-Matic,Very satisfied,Somewhat dissatisfied,Disagree,Extremely helpful,7
39,Male,35-54,ON,Bass-O-Matic,Somewhat dissatisfied,Very dissatisfied,Neither agree nor disagree,Not so helpful,3
40,Female,35-54,ON,Little Chocolate Donuts,Somewhat dissatisfied,Somewhat satisfied,Strongly agree,Very helpful,2
41,Female,35-54,ON,Bass-O-Matic,Somewhat dissatisfied,Very dissatisfied,Agree,Not at all helpful,10
42,Male,65+,QC,Happy Fun Ball,Very satisfied,Very dissatisfied,Strongly disagree,Extremely helpful,3
43,Male,35-54,AB,Happy Fun Ball,Very dissatisfied,Very satisfied,Strongly disagree,Not at all helpful,9
44,Female,18-24,BC,Happy Fun Ball,Very dissatisfied,Neither satisfied nor dissatisfied,Strongly disagree,Not so helpful,4
45,Male,25-34,ON,Bass-O-Matic,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Strongly agree,Extremely helpful,0
46,Male,35-54,QC,Bass-O-Matic,Neither satisfied nor dissatisfied,Somewhat satisfied,Disagree,Somewhat helpful,9
47,Male,18-24,ON,Bass-O-Matic,Very satisfied,Very satisfied,Strongly disagree,Extremely helpful,7
48,Male,35-54,QC,Bag of Glass,Somewhat satisfied,Very dissatisfied,Agree,Not so helpful,9
49,Male,35-54,ON,Bass-O-Matic,Very satisfied,Neither satisfied nor dissatisfied,Strongly agree,Very helpful,7
50,Male,65+,ON,Bass-O-Matic,Somewhat satisfied,Neither satisfied nor dissatisfied,Neither agree nor disagree,Very helpful,7
51,Female,65+,BC,Bass-O-Matic,Somewhat dissatisfied,Very dissatisfied,Strongly agree,Extremely helpful,9
52,Female,55-64,ON,Little Chocolate Donuts,Very dissatisfied,Neither satisfied nor dissatisfied,Strongly disagree,Extremely helpful,9
53,Female,55-64,BC,Little Chocolate Donuts,Very satisfied,Very dissatisfied,Disagree,Very helpful,4
54,Male,35-54,ON,Bass-O-Matic,Somewhat dissatisfied,Very dissatisfied,Neither agree nor disagree,Somewhat helpful,10
55,Female,65+,QC,Bag of Glass,Neither satisfied nor dissatisfied,Somewhat dissatisfied,Disagree,Not so helpful,4
56,Female,35-54,QC,Little Chocolate Donuts,Very satisfied,Somewhat satisfied,Disagree,Somewhat helpful,8
57,Male,35-54,AB,Bass-O-Matic,Very satisfied,Very dissatisfied,Strongly agree,Extremely helpful,10
58,Male,35-54,ON,Bass-O-Matic,Very dissatisfied,Somewhat satisfied,Strongly agree,Very helpful,4
59,Female,65+,AB,Bass-O-Matic,Somewhat dissatisfied,Somewhat satisfied,Agree,Somewhat helpful,0
60,Female,25-34,QC,Little Chocolate Donuts,Very satisfied,Somewhat satisfied,Agree,Very helpful,6
61,Female,18-24,ON,Bass-O-Matic,Very dissatisfied,Somewhat dissatisfied,Strongly disagree,Somewhat helpful,0
62,Male,35-54,AB,Bass-O-Matic,Somewhat dissatisfied,Somewhat dissatisfied,Strongly disagree,Somewhat helpful,5
63,Male,65+,ON,Little Chocolate Donuts,Very dissatisfied,Somewhat satisfied,Strongly disagree,Not at all helpful,10
64,Female,35-54,BC,Bass-O-Matic,Somewhat dissatisfied,Very dissatisfied,Strongly agree,Very helpful,2
65,Male,65+,BC,Little Chocolate Donuts,Very satisfied,Somewhat satisfied,Agree,Extremely helpful,7
66,Female,25-34,BC,Bag of Glass,Somewhat dissatisfied,Very dissatisfied,Strongly disagree,Not at all helpful,2
67,Male,65+,BC,Bass-O-Matic,Somewhat dissatisfied,Very dissatisfied,Neither agree nor disagree,Somewhat helpful,0
68,Male,35-54,QC,Happy Fun Ball,Very dissatisfied,Somewhat satisfied,Disagree,Not so helpful,8
69,Female,18-24,AB,Bag of Glass,Somewhat dissatisfied,Very dissatisfied,Disagree,Very helpful,5
70,Female,55-64,AB,Bass-O-Matic,Somewhat dissatisfied,Very satisfied,Agree,Very helpful,10
71,Male,18-24,BC,Bag of Glass,Very satisfied,Somewhat satisfied,Strongly disagree,Very helpful,4
72,Female,65+,QC,Bass-O-Matic,Somewhat dissatisfied,Somewhat satisfied,Disagree,Somewhat helpful,4
73,Female,55-64,AB,Happy Fun Ball,Somewhat satisfied,Neither satisfied nor dissatisfied,Neither agree nor disagree,Not at all helpful,9
74,Female,25-34,BC,Little Chocolate Donuts,Somewhat dissatisfied,Somewhat satisfied,Strongly agree,Very helpful,6
